Class ID,Parents,Preferred Label
http://purl.obolibrary.org/obo/CHEBI_23117,http://purl.obolibrary.org/obo/CHEBI_24471,"chlorine molecular entity"
http://purl.obolibrary.org/obo/CHEBI_35717,http://purl.obolibrary.org/obo/CHEBI_35488,"sedative"
http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=3535,http://purl.obolibrary.org/obo/SO_0001217,"F2 (human)"
http://purl.obolibrary.org/obo/CHEBI_36915,http://purl.obolibrary.org/obo/CHEBI_36916|http://purl.obolibrary.org/obo/CHEBI_36914,"inorganic cation"
http://purl.obolibrary.org/obo/NCBITaxon_766791,http://purl.obolibrary.org/obo/NCBITaxon_1913642,"Mink coronavirus strain WD1127"
http://purl.obolibrary.org/obo/NCBITaxon_497949,http://purl.obolibrary.org/obo/NCBITaxon_366617,"Bat coronavirus M.dau/Germany/D8.42/2007"
http://purl.obolibrary.org/obo/CIDO_0000008,http://purl.obolibrary.org/obo/CIDO_0000001,"Human coronavirus HKU1 disease process"
http://purl.obolibrary.org/obo/NCBITaxon_681879,http://purl.obolibrary.org/obo/NCBITaxon_2664420,"Kenya bat coronavirus BtKY35"
http://purl.obolibrary.org/obo/NCBITaxon_231516,http://purl.obolibrary.org/obo/NCBITaxon_694009,"SARS coronavirus SZ1"
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000003074,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000003072,"Urethral Obstruction [Disease/Finding]"
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000008328,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000008331,"Cardiac Contractility Alteration [PE]"
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000008764,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000009765,"Decreased Norepinephrine Activity [PE]"
http://purl.obolibrary.org/obo/NCBITaxon_694009,http://purl.obolibrary.org/obo/NCBITaxon_2509511|http://purl.obolibrary.org/obo/NCBITaxon_694002,"Severe acute respiratory syndrome-related coronavirus"
http://purl.obolibrary.org/obo/DRON_00000908,http://purl.obolibrary.org/obo/DRON_00000022,"loperamide tablet"
http://purl.obolibrary.org/obo/NCBITaxon_1244203,http://purl.obolibrary.org/obo/NCBITaxon_2509479,"Bat coronavirus HKU10"
http://purl.obolibrary.org/obo/PR_000044455,http://purl.obolibrary.org/obo/PR_000003507,"lentivirus-type gag-pol polyprotein"
http://purl.obolibrary.org/obo/PR_000014207,http://purl.obolibrary.org/obo/PR_000000001,"60S ribosomal protein L26-like 1"
http://purl.obolibrary.org/obo/PR_000010152,http://purl.obolibrary.org/obo/PR_000003106,"mitogen-activated protein kinase 11"
http://purl.obolibrary.org/obo/CHEBI_26979,http://purl.obolibrary.org/obo/CHEBI_36688|http://purl.obolibrary.org/obo/CHEBI_51959|http://purl.obolibrary.org/obo/CHEBI_38166,"organic heterotricyclic compound"
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000000578,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000001459,"Blood Protein Disorders [Disease/Finding]"
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000000445,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000001443|http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000003119,"Aortic Valve Stenosis [Disease/Finding]"
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000178749,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000011324|http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000007813,"Azabicyclo Compounds [Chemical/Ingredient]"
http://purl.obolibrary.org/obo/NCBITaxon_443241,http://purl.obolibrary.org/obo/NCBITaxon_290028,"Human coronavirus HKU1 (isolate N5)"
http://purl.obolibrary.org/obo/DRON_00022383,http://purl.obolibrary.org/obo/DRON_00000022,"Mefloquine Oral Tablet"
http://purl.obolibrary.org/obo/NCBITaxon_1788484,http://purl.obolibrary.org/obo/NCBITaxon_2664420,"Rhinolophus bat coronavirus BtCoV/3716"
http://purl.obolibrary.org/obo/UBERON_0000945,http://purl.obolibrary.org/obo/UBERON_0004921|http://purl.obolibrary.org/obo/UBERON_0000062|http://purl.obolibrary.org/obo/UBERON_0000465,"stomach"
http://purl.obolibrary.org/obo/CHEBI_23116,http://purl.obolibrary.org/obo/CHEBI_24473,"chlorine atom"
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000002841,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000003549,"Strongyloidiasis [Disease/Finding]"
http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=11120,http://purl.obolibrary.org/obo/SO_0001217,"SMPD1 (human)"
http://purl.obolibrary.org/obo/CHEBI_35718,http://purl.obolibrary.org/obo/CHEBI_33281,"antifungal agent"
http://purl.obolibrary.org/obo/CIDO_0000007,http://purl.obolibrary.org/obo/CIDO_0000001,"Human coronavirus NL63 disease process"
http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=1442,http://purl.obolibrary.org/obo/SO_0001217,"CALM1 (human)"
http://purl.obolibrary.org/obo/NCBITaxon_766792,http://purl.obolibrary.org/obo/NCBITaxon_1472721,"Mink coronavirus strain WD1133"
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000008329,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000008331,"Cardiac Rate Alteration [PE]"
http://purl.obolibrary.org/obo/NCBITaxon_694008,http://purl.obolibrary.org/obo/NCBITaxon_2509494,"Pipistrellus bat coronavirus HKU5"
http://purl.obolibrary.org/obo/NCBITaxon_suborder,http://purl.obolibrary.org/obo/NCBITaxon#_taxonomic_rank,"suborder"
http://purl.obolibrary.org/obo/CHEBI_22221,http://purl.obolibrary.org/obo/CHEBI_33247,"acyl group"
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000001511,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000001869|http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000000306,"Carcinoma, Hepatocellular [Disease/Finding]"
http://purl.obolibrary.org/obo/NCBITaxon_231515,http://purl.obolibrary.org/obo/NCBITaxon_694009,"Civet SARS CoV SZ16/2003"
http://purl.obolibrary.org/obo/PR_000001282,http://purl.obolibrary.org/obo/PR_000000001,"ALK tyrosine kinase receptor"
http://purl.obolibrary.org/obo/CHEBI_32860,http://purl.obolibrary.org/obo/CHEBI_33719,"valinium"
http://purl.obolibrary.org/obo/CHEBI_36916,http://purl.obolibrary.org/obo/CHEBI_24870,"cation"
http://purl.obolibrary.org/obo/CHEBI_63436,http://purl.obolibrary.org/obo/CHEBI_63299,"carbohydrate acid derivative"
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000000882,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000001699|http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000000801|http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000002509,"Cryptosporidiosis [Disease/Finding]"
http://purl.obolibrary.org/obo/NCBITaxon_1788485,http://purl.obolibrary.org/obo/NCBITaxon_2664420,"Rhinolophus bat coronavirus BtCoV/3750"
http://purl.obolibrary.org/obo/CHEBI_5653,http://purl.obolibrary.org/obo/CHEBI_30879,"hemiacetal"
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000003072,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000003086,"Urethral Diseases [Disease/Finding]"
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000007567,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000008217,"Triazoles [Chemical/Ingredient]"
http://purl.obolibrary.org/obo/CHEBI_37581,http://purl.obolibrary.org/obo/CHEBI_25000,"gamma-lactone"
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000000007,http://purl.obolibrary.org/obo/IDO_0000436,"Infectious Diseases [Disease/Finding]"
http://purl.obolibrary.org/obo/NCBITaxon_subgenus,http://purl.obolibrary.org/obo/NCBITaxon#_taxonomic_rank,"subgenus"
http://purl.obolibrary.org/obo/CIDO_0000006,http://purl.obolibrary.org/obo/CIDO_0000001,"Human coronavirus OC43 disease process"
http://purl.obolibrary.org/obo/NCBITaxon_497947,http://purl.obolibrary.org/obo/NCBITaxon_366617,"Bat coronavirus M.dau/Germany/D8.46/2007"
http://purl.obolibrary.org/obo/CHEBI_47788,http://purl.obolibrary.org/obo/CHEBI_3992|http://purl.obolibrary.org/obo/CHEBI_35789,"3-oxo steroid"
http://purl.obolibrary.org/obo/NCBITaxon_694007,http://purl.obolibrary.org/obo/NCBITaxon_2509494,"Tylonycteris bat coronavirus HKU4"
http://purl.obolibrary.org/obo/NCBITaxon_1788486,http://purl.obolibrary.org/obo/NCBITaxon_2664420,"Rhinolophus bat coronavirus BtCoV/3772"
http://purl.obolibrary.org/obo/CHEBI_24621,http://purl.obolibrary.org/obo/CHEBI_33280|http://purl.obolibrary.org/obo/CHEBI_48705,"hormone"
http://purl.obolibrary.org/obo/NCBITaxon_1335626,http://purl.obolibrary.org/obo/NCBITaxon_2509494|http://purl.obolibrary.org/obo/NCBITaxon_694002,"Middle East respiratory syndrome-related coronavirus"
http://purl.obolibrary.org/obo/GO_0006955,http://purl.obolibrary.org/obo/BFO_0000015|http://purl.obolibrary.org/obo/GO_0050896,"immune response"
http://purl.obolibrary.org/obo/CHEBI_28938,http://purl.obolibrary.org/obo/CHEBI_35106|http://purl.obolibrary.org/obo/CHEBI_50313|http://purl.obolibrary.org/obo/CHEBI_60242,"ammonium"
http://purl.obolibrary.org/obo/NCBITaxon_1329911,http://purl.obolibrary.org/obo/NCBITaxon_1329912,"Toxicofera"
http://purl.obolibrary.org/obo/CHEBI_101381,http://purl.obolibrary.org/obo/CHEBI_32955|http://purl.obolibrary.org/obo/CHEBI_29347|http://purl.obolibrary.org/obo/CHEBI_23990|http://purl.obolibrary.org/obo/CHEBI_25018,"aloxistatin"
http://purl.obolibrary.org/obo/NCBITaxon_231514,http://purl.obolibrary.org/obo/NCBITaxon_694009,"SARS coronavirus SZ13"
http://purl.obolibrary.org/obo/OBI_0002600,http://purl.obolibrary.org/obo/OBI_0000659,"collecting specimen with swab"
http://purl.obolibrary.org/obo/CHEBI_48854,http://purl.obolibrary.org/obo/CHEBI_33402,"sulfurous acid"
http://purl.obolibrary.org/obo/DRON_00031258,http://purl.obolibrary.org/obo/DRON_00000005,"Cetylpyridinium / zinc chloride Mouthwash"
http://purl.obolibrary.org/obo/CHEBI_23114,http://purl.obolibrary.org/obo/CHEBI_33958|http://purl.obolibrary.org/obo/CHEBI_23117,"chloride salt"
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000181166,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000000689|http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000001681,"Cardiovascular Infections [Disease/Finding]"
http://purl.obolibrary.org/obo/NCBITaxon_33740,http://purl.obolibrary.org/obo/NCBITaxon_31632,"Rat coronavirus (strain 681)"
http://purl.obolibrary.org/obo/CHEBI_50733,http://purl.obolibrary.org/obo/CHEBI_23888,"nutraceutical"
http://purl.obolibrary.org/obo/NCBITaxon_1289550,http://purl.obolibrary.org/obo/NCBITaxon_366617,"Coronavirus Mex_CoV-5a"
http://purl.obolibrary.org/obo/PR_O60760,http://purl.obolibrary.org/obo/PR_000029067|http://purl.obolibrary.org/obo/PR_000013420,"hematopoietic prostaglandin D synthase (human)"
http://purl.obolibrary.org/obo/CHEBI_29340,http://purl.obolibrary.org/obo/CHEBI_35106|http://purl.obolibrary.org/obo/CHEBI_79388,"hydridonitrate(2-)"
http://purl.obolibrary.org/obo/CHEBI_36914,http://purl.obolibrary.org/obo/CHEBI_24835|http://purl.obolibrary.org/obo/CHEBI_24870,"inorganic ion"
http://purl.obolibrary.org/obo/CIDO_0000005,http://purl.obolibrary.org/obo/CIDO_0000001,"Human coronavirus 229E disease process"
http://purl.obolibrary.org/obo/NCBITaxon_497948,http://purl.obolibrary.org/obo/NCBITaxon_366617,"Bat coronavirus M.dau/Germany/D8.45/2007"
http://purl.obolibrary.org/obo/CIDO_0000138,http://purl.obolibrary.org/obo/CIDO_0000135,"SARS-CoV-2 binding to human cell"
http://purl.obolibrary.org/obo/NCBITaxon_1788487,http://purl.obolibrary.org/obo/NCBITaxon_2664420,"Rhinolophus bat coronavirus BtCoV/3992-1"
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000008327,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000009748,"Carbohydrate Metabolism Alteration [PE]"
http://purl.obolibrary.org/obo/NCBITaxon_1329912,http://purl.obolibrary.org/obo/NCBITaxon_1329950,"Episquamata"
http://purl.obolibrary.org/obo/NCBITaxon_9627,http://purl.obolibrary.org/obo/NCBITaxon_9625,"Vulpes vulpes"
http://purl.obolibrary.org/obo/PR_000014204,http://purl.obolibrary.org/obo/PR_000000001,"60S ribosomal protein L23a"
http://purl.obolibrary.org/obo/UBERON_0002371,http://purl.obolibrary.org/obo/UBERON_0000479,"bone marrow"
http://purl.obolibrary.org/obo/GO_0050896,http://purl.obolibrary.org/obo/GO_0008150,"response to stimulus"
http://purl.obolibrary.org/obo/UBERON_0006601,http://purl.obolibrary.org/obo/UBERON_0006598,"presumptive ectoderm"
http://purl.obolibrary.org/obo/NCBITaxon_694006,http://purl.obolibrary.org/obo/NCBITaxon_2509502,"Rousettus bat coronavirus HKU9"
http://purl.obolibrary.org/obo/NCBITaxon_231513,http://purl.obolibrary.org/obo/NCBITaxon_694009,"Civet SARS CoV SZ3/2003"
