source,target,relation
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000020127,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000002768,may_treat
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000020127,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000006291,has_Ingredient
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000020127,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000000609,may_treat
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000020127,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000000514,CI_with
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000020127,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000002931,may_treat
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000020127,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000003954,may_treat
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000020127,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000002076,may_treat
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000020127,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000002676,CI_with
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000020127,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000002676,may_treat
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000020127,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000000291,CI_with
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000020127,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000000678,may_treat
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000020127,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000002050,may_treat
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000020127,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000001918,may_treat
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000020127,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000000913,may_treat
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000020127,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000009267,has_PE
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000020127,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000001820,may_treat
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000020127,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000000247,has_MoA
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000020127,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000001511,may_treat
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000020127,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000003152,may_treat
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000020127,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000001451,may_treat
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000020127,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000000879,may_treat
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000020127,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000000999,CI_with
