Class ID,Parents,Preferred Label
http://purl.obolibrary.org/obo/CVDO_0000562,http://purl.obolibrary.org/obo/OGMS_0000045,"cardiovascular system disorder"
http://purl.obolibrary.org/obo/DOID_10230,http://www.w3.org/2002/07/owl#Thing,"http://purl.obolibrary.org/obo/DOID_10230"
http://purl.obolibrary.org/obo/BFO_0000023,http://purl.obolibrary.org/obo/BFO_0000017,"role"
http://purl.obolibrary.org/obo/FMA_7100,http://www.w3.org/2002/07/owl#Thing,"http://purl.obolibrary.org/obo/FMA_7100"
http://purl.obolibrary.org/obo/CVDO_0000456,http://purl.obolibrary.org/obo/CVDO_0000453,"ventricular flutter (process)"
http://purl.obolibrary.org/obo/CVDO_0000424,http://www.w3.org/2002/07/owl#Thing,"degenerated structure in a pulmonary valve leaflet"
http://purl.obolibrary.org/obo/DOID_3410,http://www.w3.org/2002/07/owl#Thing,"http://purl.obolibrary.org/obo/DOID_3410"
http://purl.obolibrary.org/obo/CVDO_0000267,http://purl.obolibrary.org/obo/DOID_178,"vascular disease - unclassified by CVDO"
http://purl.obolibrary.org/obo/CVDO_0000404,http://www.w3.org/2002/07/owl#Thing,"inflammation process in a myocardium"
http://purl.obolibrary.org/obo/DOID_12929,http://purl.obolibrary.org/obo/OGMS_0000031,"http://purl.obolibrary.org/obo/DOID_12929"
http://purl.obolibrary.org/obo/DOID_9775,http://www.w3.org/2002/07/owl#Thing,"http://purl.obolibrary.org/obo/DOID_9775"
http://purl.obolibrary.org/obo/CVDO_0000495,http://www.w3.org/2002/07/owl#Thing,"premature junctional contraction (disease)"
http://purl.obolibrary.org/obo/CVDO_0000072,http://www.w3.org/2002/07/owl#Thing,"heart block (disease)"
http://purl.obolibrary.org/obo/FMA_50801,http://www.w3.org/2002/07/owl#Thing,"http://purl.obolibrary.org/obo/FMA_50801"
http://purl.obolibrary.org/obo/FMA_49893,http://www.w3.org/2002/07/owl#Thing,"http://purl.obolibrary.org/obo/FMA_49893"
http://purl.obolibrary.org/obo/CVDO_0000485,http://www.w3.org/2002/07/owl#Thing,"torsades de pointes (disease)"
http://purl.obolibrary.org/obo/DOID_3393,http://purl.obolibrary.org/obo/DOID_3394,"http://purl.obolibrary.org/obo/DOID_3393"
http://purl.obolibrary.org/obo/CVDO_0000542,http://purl.obolibrary.org/obo/OGMS_0000060,"heart bodily process"
http://purl.obolibrary.org/obo/CVDO_0000082,http://www.w3.org/2002/07/owl#Thing,"left bundle branch block (disease)"
http://purl.obolibrary.org/obo/DOID_9892,http://purl.obolibrary.org/obo/CVDO_0000234,"http://purl.obolibrary.org/obo/DOID_9892"
http://purl.obolibrary.org/obo/CVDO_0000063,http://www.w3.org/2002/07/owl#Thing,"Mobitz II second degree sinoatrial block (disease)"
http://purl.obolibrary.org/obo/CVDO_0000466,http://purl.obolibrary.org/obo/CVDO_0000047,"impaired sinus node"
http://purl.obolibrary.org/obo/CVDO_0000277,http://www.w3.org/2002/07/owl#Thing,"pulmonary valve leaflet displacement into the right ventricle during right ventricular diastole"
http://purl.obolibrary.org/obo/CVDO_0000476,http://purl.obolibrary.org/obo/CVDO_0000319,"left bundle branch block (process)"
http://purl.obolibrary.org/obo/CVDO_0000418,http://purl.obolibrary.org/obo/OGMS_0000061,"fibrofatty replacement in a right ventricular myocardium"
http://purl.obolibrary.org/obo/FMA_7099,http://www.w3.org/2002/07/owl#Thing,"http://purl.obolibrary.org/obo/FMA_7099"
http://purl.obolibrary.org/obo/DOID_2868,http://purl.obolibrary.org/obo/OGMS_0000031,"http://purl.obolibrary.org/obo/DOID_2868"
http://purl.obolibrary.org/obo/CVDO_0000563,http://purl.obolibrary.org/obo/OGMS_0000061,"cardiovascular system pathological process"
http://purl.obolibrary.org/obo/CVDO_0000298,http://www.w3.org/2002/07/owl#Thing,"left atrial flutter (disease)"
http://purl.obolibrary.org/obo/BFO_0000034,http://purl.obolibrary.org/obo/BFO_0000016,"function"
http://purl.obolibrary.org/obo/CVDO_0000437,http://purl.obolibrary.org/obo/CVDO_0000092,"persistent atrial fibrillation"
http://purl.obolibrary.org/obo/CVDO_0000445,http://purl.obolibrary.org/obo/CVDO_0000310,"tachycardia (process)"
http://purl.obolibrary.org/obo/CVDO_0000455,http://purl.obolibrary.org/obo/CVDO_0000453,"torsades de pointes (process)"
http://purl.obolibrary.org/obo/CVDO_0000288,http://www.w3.org/2002/07/owl#Thing,"atheromous plaque formation in coronary artery"
http://purl.obolibrary.org/obo/BFO_0000024,http://purl.obolibrary.org/obo/BFO_0000040,"fiat object part"
http://purl.obolibrary.org/obo/FMA_7101,http://www.w3.org/2002/07/owl#Thing,"http://purl.obolibrary.org/obo/FMA_7101"
http://purl.obolibrary.org/obo/CVDO_0000209,http://www.w3.org/2002/07/owl#Thing,"heart valve insufficiency"
http://purl.obolibrary.org/obo/CVDO_0000423,http://www.w3.org/2002/07/owl#Thing,"degenerated structure in a tricuspid valve leaflet"
http://purl.obolibrary.org/obo/DOID_13884,http://purl.obolibrary.org/obo/DOID_10273,"http://purl.obolibrary.org/obo/DOID_13884"
http://purl.obolibrary.org/obo/DOID_6713,http://purl.obolibrary.org/obo/CVDO_0000267,"http://purl.obolibrary.org/obo/DOID_6713"
http://purl.obolibrary.org/obo/DOID_114,http://www.w3.org/2002/07/owl#Thing,"http://purl.obolibrary.org/obo/DOID_114"
http://purl.obolibrary.org/obo/CVDO_0000403,http://purl.obolibrary.org/obo/OGMS_0000061,"pathological inflammation process"
http://purl.obolibrary.org/obo/CVDO_0000543,http://www.w3.org/2002/07/owl#Thing,"genetic dilated cardiomyopathy"
http://purl.obolibrary.org/obo/CVDO_0000496,http://www.w3.org/2002/07/owl#Thing,"premature ventricular contraction (disease)"
http://purl.obolibrary.org/obo/DOID_14121,http://purl.obolibrary.org/obo/CVDO_0000267,"http://purl.obolibrary.org/obo/DOID_14121"
http://purl.obolibrary.org/obo/DOID_3394,http://purl.obolibrary.org/obo/OGMS_0000031,"http://purl.obolibrary.org/obo/DOID_3394"
http://purl.obolibrary.org/obo/CVDO_0000486,http://www.w3.org/2002/07/owl#Thing,"monomorphic ventricular tachycardia (disease)"
http://purl.obolibrary.org/obo/DOID_484,http://purl.obolibrary.org/obo/CVDO_0000267,"http://purl.obolibrary.org/obo/DOID_484"
http://purl.obolibrary.org/obo/CVDO_0000475,http://www.w3.org/2002/07/owl#Thing,"sinus bradycardia (disease)"
http://purl.obolibrary.org/obo/CVDO_0000064,http://www.w3.org/2002/07/owl#Thing,"first degree sinoatrial block (disease)"
http://purl.obolibrary.org/obo/CVDO_0000444,http://purl.obolibrary.org/obo/CVDO_0000140,"sinus bradycardia (process)"
http://purl.obolibrary.org/obo/CVDO_0000299,http://www.w3.org/2002/07/owl#Thing,"right atrial flutter (disease)"
http://purl.obolibrary.org/obo/BFO_0000035,http://purl.obolibrary.org/obo/BFO_0000003,"process boundary"
