source,target,relation
http://purl.obolibrary.org/obo/DOID_0050431,http://purl.obolibrary.org/obo/CVDO_0000584,http://purl.obolibrary.org/obo/BFO_0000117
http://purl.obolibrary.org/obo/FMA_83378,http://purl.obolibrary.org/obo/FMA_7088,http://purl.obolibrary.org/obo/BFO_0000082
http://purl.obolibrary.org/obo/DOID_8516,http://purl.obolibrary.org/obo/DOID_9477,http://purl.obolibrary.org/obo/BFO_0000117
http://purl.obolibrary.org/obo/CVDO_0000275,http://purl.obolibrary.org/obo/CVDO_0000225,http://purl.obolibrary.org/obo/BFO_0000117
http://purl.obolibrary.org/obo/DOID_11502,http://purl.obolibrary.org/obo/CVDO_0000168,http://purl.obolibrary.org/obo/BFO_0000117
http://purl.obolibrary.org/obo/DOID_397,http://purl.obolibrary.org/obo/CVDO_0000570,http://purl.obolibrary.org/obo/BFO_0000117
http://purl.obolibrary.org/obo/DOID_1754,http://purl.obolibrary.org/obo/OGMS_0000063,http://purl.obolibrary.org/obo/BFO_0000117
http://purl.obolibrary.org/obo/CVDO_0000240,http://purl.obolibrary.org/obo/FMA_3710,http://purl.obolibrary.org/obo/BFO_0000066
http://purl.obolibrary.org/obo/DOID_0060000,http://purl.obolibrary.org/obo/OGMS_0000063,http://purl.obolibrary.org/obo/BFO_0000117
http://purl.obolibrary.org/obo/CVDO_0000558,http://purl.obolibrary.org/obo/CVDO_0000570,http://purl.obolibrary.org/obo/BFO_0000117
http://purl.obolibrary.org/obo/CVDO_0000531,http://purl.obolibrary.org/obo/FMA_9869,http://purl.obolibrary.org/obo/BFO_0000082
http://purl.obolibrary.org/obo/DOID_6000,http://purl.obolibrary.org/obo/OGMS_0000063,http://purl.obolibrary.org/obo/BFO_0000117
http://purl.obolibrary.org/obo/CVDO_0000082,http://purl.obolibrary.org/obo/CVDO_0000077,http://purl.obolibrary.org/obo/BFO_0000172
http://purl.obolibrary.org/obo/DOID_525,http://purl.obolibrary.org/obo/CVDO_0000408,http://purl.obolibrary.org/obo/BFO_0000117
http://purl.obolibrary.org/obo/DOID_0050451,http://purl.obolibrary.org/obo/CVDO_0000489,http://purl.obolibrary.org/obo/BFO_0000117
http://purl.obolibrary.org/obo/DOID_8515,http://purl.obolibrary.org/obo/CVDO_0000333,http://purl.obolibrary.org/obo/BFO_0000117
http://purl.obolibrary.org/obo/DOID_12930,http://purl.obolibrary.org/obo/CVDO_0000570,http://purl.obolibrary.org/obo/BFO_0000117
http://purl.obolibrary.org/obo/CVDO_0000279,http://purl.obolibrary.org/obo/FMA_7088,http://purl.obolibrary.org/obo/BFO_0000066
http://purl.obolibrary.org/obo/DOID_11502,http://purl.obolibrary.org/obo/OGMS_0000063,http://purl.obolibrary.org/obo/BFO_0000117
http://purl.obolibrary.org/obo/DOID_0050650,http://purl.obolibrary.org/obo/OGMS_0000047,http://purl.obolibrary.org/obo/BFO_0000113
http://purl.obolibrary.org/obo/DOID_4248,http://purl.obolibrary.org/obo/FMA_49893,http://purl.obolibrary.org/obo/BFO_0000082
http://purl.obolibrary.org/obo/CVDO_0000418,http://purl.obolibrary.org/obo/FMA_7098,http://purl.obolibrary.org/obo/BFO_0000066
http://purl.obolibrary.org/obo/DOID_13884,http://purl.obolibrary.org/obo/OGMS_0000063,http://purl.obolibrary.org/obo/BFO_0000117
http://purl.obolibrary.org/obo/DOID_0050431,http://purl.obolibrary.org/obo/CVDO_0000418,http://purl.obolibrary.org/obo/BFO_0000117
http://purl.obolibrary.org/obo/CVDO_0000217,http://purl.obolibrary.org/obo/FMA_3710,http://purl.obolibrary.org/obo/BFO_0000066
http://purl.obolibrary.org/obo/DOID_1929,http://purl.obolibrary.org/obo/CVDO_0000187,http://purl.obolibrary.org/obo/BFO_0000117
http://purl.obolibrary.org/obo/DOID_2349,http://purl.obolibrary.org/obo/OGMS_0000063,http://purl.obolibrary.org/obo/BFO_0000117
http://purl.obolibrary.org/obo/DOID_396,http://purl.obolibrary.org/obo/OGMS_0000065,http://purl.obolibrary.org/obo/BFO_0000117
http://purl.obolibrary.org/obo/CVDO_0000503,http://purl.obolibrary.org/obo/FMA_7110,http://purl.obolibrary.org/obo/BFO_0000167
http://purl.obolibrary.org/obo/FMA_50722,http://purl.obolibrary.org/obo/FMA_3710,http://purl.obolibrary.org/obo/BFO_0000082
http://purl.obolibrary.org/obo/DOID_8515,http://purl.obolibrary.org/obo/CVDO_0000239,http://purl.obolibrary.org/obo/BFO_0000117
http://purl.obolibrary.org/obo/CVDO_0000518,http://purl.obolibrary.org/obo/FMA_7100,http://purl.obolibrary.org/obo/BFO_0000167
http://purl.obolibrary.org/obo/DOID_9768,http://purl.obolibrary.org/obo/FMA_7088,http://purl.obolibrary.org/obo/BFO_0000082
http://purl.obolibrary.org/obo/DOID_13884,http://purl.obolibrary.org/obo/CVDO_0000444,http://purl.obolibrary.org/obo/BFO_0000117
http://purl.obolibrary.org/obo/CVDO_0000503,http://purl.obolibrary.org/obo/FMA_7088,http://purl.obolibrary.org/obo/BFO_0000066
http://purl.obolibrary.org/obo/DOID_14265,http://purl.obolibrary.org/obo/OGMS_0000063,http://purl.obolibrary.org/obo/BFO_0000117
http://purl.obolibrary.org/obo/FMA_9869,http://purl.obolibrary.org/obo/FMA_7161,http://purl.obolibrary.org/obo/BFO_0000082
http://purl.obolibrary.org/obo/DOID_8516,http://purl.obolibrary.org/obo/CVDO_0000276,http://purl.obolibrary.org/obo/BFO_0000117
http://purl.obolibrary.org/obo/CVDO_0000238,http://purl.obolibrary.org/obo/OGMS_0000064,http://purl.obolibrary.org/obo/BFO_0000054
http://purl.obolibrary.org/obo/DOID_5805,http://purl.obolibrary.org/obo/CVDO_0000575,http://purl.obolibrary.org/obo/BFO_0000117
http://purl.obolibrary.org/obo/FMA_7110,http://purl.obolibrary.org/obo/FMA_7088,http://purl.obolibrary.org/obo/BFO_0000082
http://purl.obolibrary.org/obo/DOID_11516,http://purl.obolibrary.org/obo/CVDO_0000039,http://purl.obolibrary.org/obo/BFO_0000117
http://purl.obolibrary.org/obo/CVDO_0000567,http://purl.obolibrary.org/obo/CVDO_0000504,http://purl.obolibrary.org/obo/BFO_0000117
http://purl.obolibrary.org/obo/DOID_13209,http://purl.obolibrary.org/obo/CVDO_0000051,http://purl.obolibrary.org/obo/BFO_0000113
http://purl.obolibrary.org/obo/DOID_1869,http://purl.obolibrary.org/obo/OGMS_0000064,http://purl.obolibrary.org/obo/BFO_0000054
http://purl.obolibrary.org/obo/DOID_3394,http://purl.obolibrary.org/obo/CVDO_0000039,http://purl.obolibrary.org/obo/BFO_0000117
http://purl.obolibrary.org/obo/DOID_0050451,http://purl.obolibrary.org/obo/OGMS_0000047,http://purl.obolibrary.org/obo/BFO_0000113
http://purl.obolibrary.org/obo/CVDO_0000061,http://purl.obolibrary.org/obo/CVDO_0000066,http://purl.obolibrary.org/obo/BFO_0000113
http://purl.obolibrary.org/obo/DOID_1929,http://purl.obolibrary.org/obo/CVDO_0000504,http://purl.obolibrary.org/obo/BFO_0000117
