Class ID,Parents,Preferred Label
http://purl.obolibrary.org/obo/OAE_0001770,http://purl.obolibrary.org/obo/OAE_0000128,"predictive AE causality"
http://purl.obolibrary.org/obo/OAE_0001984,http://purl.obolibrary.org/obo/OAE_0000083,"priapism AE"
http://purl.obolibrary.org/obo/UBERON_0001019,http://purl.obolibrary.org/obo/UBERON_0000122,"nerve fasciculus"
http://purl.obolibrary.org/obo/UBERON_0006866,http://purl.obolibrary.org/obo/UBERON_0004921,"terminal part of digestive tract"
http://purl.obolibrary.org/obo/OAE_0003572,http://purl.obolibrary.org/obo/OAE_0000602,"Grade 1 constipation AE"
http://purl.obolibrary.org/obo/UBERON_0000161,http://purl.obolibrary.org/obo/UBERON_0004111,"orifice"
http://purl.obolibrary.org/obo/OAE_0003066,http://purl.obolibrary.org/obo/OAE_0000487,"Grade 2 purpura AE"
http://purl.obolibrary.org/obo/OAE_0001562,http://purl.obolibrary.org/obo/OAE_0001022,"adverse event causality P-value"
http://purl.obolibrary.org/obo/OAE_0000507,http://purl.obolibrary.org/obo/OAE_0000493,"thrombocythemia AE"
http://purl.obolibrary.org/obo/OAE_0001675,http://purl.obolibrary.org/obo/OAE_0001674,"granulocyte count increased AE"
http://purl.obolibrary.org/obo/OAE_0002233,http://purl.obolibrary.org/obo/OAE_0001845,"hydrochloric acid in gastric juice secretion increased AE"
http://purl.obolibrary.org/obo/UBERON_0014851,http://purl.obolibrary.org/obo/UBERON_0005994,"chorda tendinea of left ventricle"
http://purl.obolibrary.org/obo/OAE_0000584,http://purl.obolibrary.org/obo/OAE_0000476,"hypersensitivity AE"
http://purl.obolibrary.org/obo/UBERON_0009497,http://purl.obolibrary.org/obo/UBERON_0000490|http://purl.obolibrary.org/obo/UBERON_0005911|http://purl.obolibrary.org/obo/UBERON_0003929,"epithelium of foregut-midgut junction"
http://purl.obolibrary.org/obo/UBERON_0004923,http://purl.obolibrary.org/obo/UBERON_0000064,"organ component layer"
http://purl.obolibrary.org/obo/OAE_0002511,http://purl.obolibrary.org/obo/OAE_0000574,"hypovitaminosis AE"
http://purl.obolibrary.org/obo/OAE_0003757,http://purl.obolibrary.org/obo/OAE_0001741,"Grade 1 right ventricular dysfuction AE"
http://purl.obolibrary.org/obo/OAE_0002939,http://purl.obolibrary.org/obo/OAE_0002799,"Grade 2 chronic kidney disease AE"
http://purl.obolibrary.org/obo/OAE_0001983,http://purl.obolibrary.org/obo/OAE_0000624,"hyperthermia AE"
http://purl.obolibrary.org/obo/UBERON_0000162,http://purl.obolibrary.org/obo/UBERON_0013522|http://purl.obolibrary.org/obo/UBERON_0004120,"cloaca"
http://purl.obolibrary.org/obo/OAE_0000360,http://purl.obolibrary.org/obo/OAE_0000392,"paresthesia oral AE"
http://purl.obolibrary.org/obo/BFO_0000034,http://purl.obolibrary.org/obo/BFO_0000016,"function"
http://purl.obolibrary.org/obo/OAE_0003571,http://purl.obolibrary.org/obo/OAE_0000601,"Grade 3 vomiting AE"
http://purl.obolibrary.org/obo/UBERON_0008858,http://purl.obolibrary.org/obo/UBERON_0009870,"pyloric canal"
http://purl.obolibrary.org/obo/OAE_0003067,http://purl.obolibrary.org/obo/OAE_0000487,"Grade 3 purpura AE"
http://purl.obolibrary.org/obo/UBERON_0000014,http://purl.obolibrary.org/obo/UBERON_0004121|http://purl.obolibrary.org/obo/UBERON_0034944,"zone of skin"
http://purl.obolibrary.org/obo/OAE_0003758,http://purl.obolibrary.org/obo/OAE_0001741,"Grade 2 right ventricular dysfuction AE"
http://purl.obolibrary.org/obo/OAE_0001561,http://purl.obolibrary.org/obo/OAE_0000378,"nasal discomfort AE"
http://purl.obolibrary.org/obo/OAE_0001674,http://purl.obolibrary.org/obo/OAE_0001666,"granulocyte count abnormal AE"
http://purl.obolibrary.org/obo/OAE_0000508,http://purl.obolibrary.org/obo/OAE_0000427,"epistaxis AE"
http://purl.obolibrary.org/obo/OAE_0002512,http://purl.obolibrary.org/obo/OAE_0000455,"ileitis AE"
http://purl.obolibrary.org/obo/OAE_0002232,http://purl.obolibrary.org/obo/OAE_0000733,"increased blood sugar with empty stomach AE"
http://purl.obolibrary.org/obo/OAE_0000583,http://purl.obolibrary.org/obo/OAE_0000555,"glucose homeostasis AE"
http://purl.obolibrary.org/obo/OAE_0000691,http://purl.obolibrary.org/obo/OAE_0000543,"skin ulceration AE"
http://purl.obolibrary.org/obo/OAE_0003691,http://purl.obolibrary.org/obo/OAE_0001201,"Grade 2 myocarditis AE"
http://purl.obolibrary.org/obo/UBERON_0001017,http://purl.obolibrary.org/obo/UBERON_0004121|http://purl.obolibrary.org/obo/UBERON_0011216,"central nervous system"
http://purl.obolibrary.org/obo/OAE_0001986,http://purl.obolibrary.org/obo/OAE_0002129,"hearing loss AE"
http://purl.obolibrary.org/obo/UBERON_0009196,http://purl.obolibrary.org/obo/UBERON_0002050|http://purl.obolibrary.org/obo/UBERON_0004176,"indifferent external genitalia"
http://purl.obolibrary.org/obo/UBERON_0000163,http://purl.obolibrary.org/obo/UBERON_0002050|http://purl.obolibrary.org/obo/UBERON_0000162,"embryonic cloaca"
http://purl.obolibrary.org/obo/OAE_0001772,http://purl.obolibrary.org/obo/OAE_0001744,"venous embolism AE"
http://purl.obolibrary.org/obo/UBERON_0000015,http://purl.obolibrary.org/obo/UBERON_0000466,"anatomical boundary"
http://purl.obolibrary.org/obo/UBERON_0004120,http://purl.obolibrary.org/obo/UBERON_0000061,"mesoderm-derived structure"
