source,target,relation
http://purl.obolibrary.org/obo/OAE_0004089,http://purl.obolibrary.org/obo/OAE_0001838,has participant quality
http://purl.obolibrary.org/obo/OAE_0000335,http://purl.obolibrary.org/obo/OAE_0001837,has participant quality
http://purl.obolibrary.org/obo/OAE_0003943,http://purl.obolibrary.org/obo/OAE_0001837,has participant quality
http://purl.obolibrary.org/obo/OAE_0000502,http://purl.obolibrary.org/obo/UBERON_0001737,occurs in
http://purl.obolibrary.org/obo/OAE_0000720,http://purl.obolibrary.org/obo/OAE_0001837,has participant quality
http://purl.obolibrary.org/obo/OAE_0002932,http://purl.obolibrary.org/obo/OAE_0001837,has participant quality
http://purl.obolibrary.org/obo/OAE_0000762,http://purl.obolibrary.org/obo/UBERON_0000310,occurs in
http://purl.obolibrary.org/obo/OAE_0003508,http://purl.obolibrary.org/obo/OAE_0001838,has participant quality
http://purl.obolibrary.org/obo/OAE_0002982,http://purl.obolibrary.org/obo/OAE_0001836,has participant quality
http://purl.obolibrary.org/obo/OAE_0002684,http://purl.obolibrary.org/obo/OAE_0001837,has participant quality
http://purl.obolibrary.org/obo/OAE_0000613,http://purl.obolibrary.org/obo/OAE_0001837,has participant quality
http://purl.obolibrary.org/obo/OAE_0003672,http://purl.obolibrary.org/obo/OAE_0001837,has participant quality
http://purl.obolibrary.org/obo/OAE_0000845,http://purl.obolibrary.org/obo/UBERON_0001621,occurs in
http://purl.obolibrary.org/obo/OAE_0002664,http://purl.obolibrary.org/obo/OAE_0001837,has participant quality
http://purl.obolibrary.org/obo/OAE_0002876,http://purl.obolibrary.org/obo/OAE_0001837,has participant quality
http://purl.obolibrary.org/obo/OAE_0003657,http://purl.obolibrary.org/obo/OAE_0001837,has participant quality
http://purl.obolibrary.org/obo/OAE_0002949,http://purl.obolibrary.org/obo/OAE_0001837,has participant quality
http://purl.obolibrary.org/obo/OAE_0002828,http://purl.obolibrary.org/obo/OAE_0001837,has participant quality
http://purl.obolibrary.org/obo/OAE_0001031,http://purl.obolibrary.org/obo/UBERON_0002107,occurs in
http://purl.obolibrary.org/obo/OAE_0004100,http://purl.obolibrary.org/obo/OAE_0001836,has participant quality
http://purl.obolibrary.org/obo/OAE_0003800,http://purl.obolibrary.org/obo/OAE_0001836,has participant quality
http://purl.obolibrary.org/obo/OAE_0000961,http://purl.obolibrary.org/obo/UBERON_0002110,occurs in
http://purl.obolibrary.org/obo/OAE_0003957,http://purl.obolibrary.org/obo/OAE_0001838,has participant quality
http://purl.obolibrary.org/obo/OAE_0000383,http://purl.obolibrary.org/obo/UBERON_0002385,occurs in
http://purl.obolibrary.org/obo/OAE_0003035,http://purl.obolibrary.org/obo/OAE_0001838,has participant quality
http://purl.obolibrary.org/obo/OAE_0003676,http://purl.obolibrary.org/obo/OAE_0001838,has participant quality
