Class ID,Parents,Preferred Label
http://purl.obolibrary.org/obo/OAE_0001979,http://purl.obolibrary.org/obo/OAE_0000443,"retinopathy AE"
http://purl.obolibrary.org/obo/OAE_0002296,http://purl.obolibrary.org/obo/OAE_0000551,"mild decline in blood pressure AE"
http://purl.obolibrary.org/obo/OAE_0001713,http://purl.obolibrary.org/obo/OAE_0001665,"hematocrit abnormal AE"
http://purl.obolibrary.org/obo/UBERON_0001043,http://purl.obolibrary.org/obo/UBERON_0004921|http://purl.obolibrary.org/obo/UBERON_0013765|http://purl.obolibrary.org/obo/UBERON_0005178,"esophagus"
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000029135,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000029133,"[CN103] NON-OPIOID ANALGESICS"
http://purl.obolibrary.org/obo/UBERON_0001176,http://purl.obolibrary.org/obo/UBERON_0003703,"right hepatic duct"
http://purl.obolibrary.org/obo/UBERON_0007846,http://purl.obolibrary.org/obo/UBERON_0007845|http://purl.obolibrary.org/obo/UBERON_0011823,"dense regular connective tissue"
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000007432,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000007439,"Ethanol [Chemical/Ingredient]"
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000151575,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000146416|http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000029163,"MINOXIDIL 2% SOLN,TOP [VA Product]"
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000177769,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000029123|http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000176226,"AMLODIPINE BESYLATE 5MG/VALSARTAN 160MG TAB,UD [VA Product]"
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000010600,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000010582,"R [Preparations]"
http://purl.obolibrary.org/obo/OAE_0001931,http://purl.obolibrary.org/obo/OAE_0000557,"keratoconjunctivitis AE"
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000001862,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000001866,"Liver Cirrhosis [Disease/Finding]"
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000008328,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000008331,"Cardiac Contractility Alteration [PE]"
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000153669,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000029122|http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000146924,"PROBUCOL 250MG TAB [VA Product]"
http://purl.obolibrary.org/obo/OAE_0000647,http://purl.obolibrary.org/obo/OAE_0000557,"pneumonia AE"
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000006452,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000006932,"Hydrochlorothiazide [Chemical/Ingredient]"
