source,target,relation
http://purl.obolibrary.org/obo/UBERON_0005564,http://purl.obolibrary.org/obo/UBERON_0000990,part of
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000146201,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000000999,CI_with
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000160678,http://purl.obolibrary.org/obo/OAE_0002106,drug associated with AE
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000147607,http://purl.obolibrary.org/obo/OAE_0000505,drug associated with AE
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000148554,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000008688,has_PE
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000156452,http://purl.obolibrary.org/obo/OAE_0000388,drug associated with AE
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000146924,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000009915,has_MoA
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000151458,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000000238,has_MoA
http://purl.obolibrary.org/obo/UBERON_0005604,http://purl.obolibrary.org/obo/UBERON_0005171,part of
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000148116,http://purl.obolibrary.org/obo/OAE_0000373,drug associated with AE
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000146466,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000009756,has_PE
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000150634,http://purl.obolibrary.org/obo/OAE_0000902,drug associated with AE
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000177509,http://purl.obolibrary.org/obo/OAE_0001987,drug associated with AE
http://purl.obolibrary.org/obo/UBERON_0001043,http://purl.obolibrary.org/obo/UBERON_0004908,part of
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000146212,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000000999,CI_with
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000022178,http://purl.obolibrary.org/obo/OAE_0000607,drug associated with AE
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000157379,http://purl.obolibrary.org/obo/OAE_0000616,drug associated with AE
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000156452,http://purl.obolibrary.org/obo/OAE_0000034,drug associated with AE
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000165693,http://purl.obolibrary.org/obo/OAE_0000744,drug associated with AE
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000146406,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000009756,has_PE
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000146190,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000000209,has_MoA
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000149481,http://purl.obolibrary.org/obo/OAE_0002247,drug associated with AE
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000163243,http://purl.obolibrary.org/obo/OAE_0001896,drug associated with AE
http://purl.obolibrary.org/obo/UBERON_0007823,http://purl.obolibrary.org/obo/UBERON_0010707,part of
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000147814,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000002540,CI_with
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000154686,http://purl.obolibrary.org/obo/OAE_0002027,drug associated with AE
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000146337,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000003541,may_treat
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000146192,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000000209,has_MoA
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000165544,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000000482,may_treat
http://purl.obolibrary.org/obo/UBERON_0000045,http://purl.obolibrary.org/obo/UBERON_0003869,immediate transformation of
