Class ID,Parents,Preferred Label
http://purl.obolibrary.org/obo/GO_0009889,http://purl.obolibrary.org/obo/GO_0019222,"regulation of biosynthetic process"
http://purl.obolibrary.org/obo/ODNAE_0000104,http://purl.obolibrary.org/obo/OAE_0000337|http://purl.obolibrary.org/obo/ODNAE_0000004,"norfloxacin (Noroxin)-associated peripheral neuropathy AE"
http://purl.obolibrary.org/obo/ODNAE_0000043,http://purl.obolibrary.org/obo/ODNAE_0000001|http://purl.obolibrary.org/obo/OAE_0000418,"bupropion (Aplezin, Wellbutrin, Zyban, Budeprion SR, Buproban, Forfivo XL)-associated neuropathy AE"
http://purl.obolibrary.org/obo/OAE_0002005,http://purl.obolibrary.org/obo/OAE_0000337,"carpal tunnel syndrome AE"
http://purl.obolibrary.org/obo/UBERON_0000480,http://purl.obolibrary.org/obo/UBERON_0000061,"anatomical group"
http://purl.obolibrary.org/obo/ODNAE_0000186,http://purl.obolibrary.org/obo/ODNAE_0000001|http://purl.obolibrary.org/obo/OAE_0000418,"propofol (Diprivan, Fresenious Propoven)-associated neuropathy AE"
http://purl.obolibrary.org/obo/ODNAE_0000103,http://purl.obolibrary.org/obo/ODNAE_0000001|http://purl.obolibrary.org/obo/OAE_0000418,"betaxolol (Kerlone, Betoptic S)-associated neuropathy AE"
http://purl.obolibrary.org/obo/CHEBI_24828,http://purl.obolibrary.org/obo/CHEBI_22728,"indoles"
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000000206,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000000133,"Xanthine Oxidase Inhibitors [MoA]"
http://purl.obolibrary.org/obo/ODNAE_0000002,http://purl.obolibrary.org/obo/BFO_0000023,"role in cellular and molecular interactions"
http://purl.obolibrary.org/obo/CHEBI_33304,http://purl.obolibrary.org/obo/CHEBI_33675,"chalcogen molecular entity"
http://purl.obolibrary.org/obo/CHEBI_47788,http://purl.obolibrary.org/obo/CHEBI_35789,"3-oxo steroid"
http://purl.obolibrary.org/obo/GO_0009888,http://purl.obolibrary.org/obo/GO_0048856,"tissue development"
http://purl.obolibrary.org/obo/DRON_00031788,http://purl.obolibrary.org/obo/DRON_00000005,"Topotecan Oral Capsule"
http://purl.obolibrary.org/obo/CHEBI_22580,http://purl.obolibrary.org/obo/CHEBI_51285|http://purl.obolibrary.org/obo/CHEBI_46955,"anthraquinone"
http://purl.obolibrary.org/obo/ODNAE_0000042,http://purl.obolibrary.org/obo/OAE_0000337|http://purl.obolibrary.org/obo/ODNAE_0000004,"maraviroc (Selzentry)-associated peripheral neuropathy AE"
http://purl.obolibrary.org/obo/ODNAE_0000105,http://purl.obolibrary.org/obo/OAE_0000337|http://purl.obolibrary.org/obo/ODNAE_0000004,"amiodarone (Cordarone, Pacerone)-associated peripheral neuropathy AE"
http://purl.obolibrary.org/obo/CHEBI_59769,http://purl.obolibrary.org/obo/CHEBI_46786,"acetal"
http://purl.obolibrary.org/obo/ODNAE_0000185,http://purl.obolibrary.org/obo/OAE_0000337|http://purl.obolibrary.org/obo/ODNAE_0000004,"sotalol hydrochloride (Betapace, Sorine, Sotylize)-associated peripheral neuropathy AE"
http://purl.obolibrary.org/obo/CHEBI_38261,http://purl.obolibrary.org/obo/CHEBI_38101|http://purl.obolibrary.org/obo/CHEBI_38304,"imidazolidines"
http://purl.obolibrary.org/obo/GO_0048598,http://purl.obolibrary.org/obo/GO_0009653|http://purl.obolibrary.org/obo/GO_0044767,"embryonic morphogenesis"
http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000000205,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000000065,"Radiopharmaceutical Activity [MoA]"
http://purl.obolibrary.org/obo/ODNAE_0000003,http://purl.obolibrary.org/obo/OAE_0002557,"drug-associated mixed neuropathy AE"
http://purl.obolibrary.org/obo/CHEBI_23367,http://purl.obolibrary.org/obo/BFO_0000030,"molecular entity"
http://purl.obolibrary.org/obo/DRON_00024045,http://purl.obolibrary.org/obo/DRON_00000005,"ziprasidone Oral Capsule"
http://purl.obolibrary.org/obo/UBERON_0001017,http://purl.obolibrary.org/obo/UBERON_0004121|http://purl.obolibrary.org/obo/UBERON_0011216,"central nervous system"
http://purl.obolibrary.org/obo/ODNAE_0000005,http://purl.obolibrary.org/obo/OAE_0000168,"drug-associated motor neuropathy AE"
http://purl.obolibrary.org/obo/GO_0048518,http://purl.obolibrary.org/obo/GO_0050789,"positive regulation of biological process"
http://purl.obolibrary.org/obo/ODNAE_0000045,http://purl.obolibrary.org/obo/OAE_0000337|http://purl.obolibrary.org/obo/ODNAE_0000004,"ixabepilone (Ixempra)-associated peripheral neuropathy AE"
http://purl.obolibrary.org/obo/OAE_0002554,http://purl.obolibrary.org/obo/OAE_0002553,"neuroretinitis AE"
http://purl.obolibrary.org/obo/DRON_00012980,http://purl.obolibrary.org/obo/OBI_0000047,"Aldesleukin"
http://purl.obolibrary.org/obo/GO_0051953,http://purl.obolibrary.org/obo/GO_0051051|http://purl.obolibrary.org/obo/GO_0051952,"negative regulation of amine transport"
http://purl.obolibrary.org/obo/CHEBI_26788,http://purl.obolibrary.org/obo/CHEBI_22507|http://purl.obolibrary.org/obo/CHEBI_22479,"streptomycins"
http://purl.obolibrary.org/obo/DRON_00025587,http://purl.obolibrary.org/obo/DRON_00000005,"Foscarnet Injectable Solution"
http://purl.obolibrary.org/obo/ODNAE_0000106,http://purl.obolibrary.org/obo/OAE_0000337|http://purl.obolibrary.org/obo/ODNAE_0000004,"cisplatin (Platinol)-associated peripheral neuropathy AE"
http://purl.obolibrary.org/obo/DRON_00015922,http://purl.obolibrary.org/obo/OBI_0000047,"Thalidomide"
http://purl.obolibrary.org/obo/CHEBI_35533,http://purl.obolibrary.org/obo/CHEBI_22478,"propanolamine"
http://purl.obolibrary.org/obo/ODNAE_0000184,http://purl.obolibrary.org/obo/ODNAE_0000001|http://purl.obolibrary.org/obo/OAE_0000418,"zonisamide (Zonegran)-associated neuropathy AE"
http://purl.obolibrary.org/obo/ODNAE_0000004,http://purl.obolibrary.org/obo/OAE_0000337,"drug-associated peripheral neuropathy adverse event"
