source,target,relation
http://purl.obolibrary.org/obo/ODNAE_0000127,http://purl.obolibrary.org/obo/DRON_00022521,has participant
http://purl.obolibrary.org/obo/ODNAE_0000126,http://purl.obolibrary.org/obo/DRON_00020336,has participant
http://purl.obolibrary.org/obo/ODNAE_0000129,http://purl.obolibrary.org/obo/DRON_00021467,has participant
http://purl.obolibrary.org/obo/ODNAE_0000128,http://purl.obolibrary.org/obo/DRON_00025837,has participant
http://purl.obolibrary.org/obo/ODNAE_0000123,http://purl.obolibrary.org/obo/DRON_00020653,has participant
http://purl.obolibrary.org/obo/ODNAE_0000122,http://purl.obolibrary.org/obo/DRON_00023742,has participant
http://purl.obolibrary.org/obo/ODNAE_0000125,http://purl.obolibrary.org/obo/DRON_00023809,has participant
http://purl.obolibrary.org/obo/ODNAE_0000124,http://purl.obolibrary.org/obo/DRON_00027809,has participant
http://purl.obolibrary.org/obo/NCBITaxon_33154,http://purl.obolibrary.org/obo/NCBITaxon_33154,in taxon
http://purl.obolibrary.org/obo/ODNAE_0000120,http://purl.obolibrary.org/obo/DRON_00031788,has participant
http://purl.obolibrary.org/obo/ODNAE_0000121,http://purl.obolibrary.org/obo/DRON_00020960,has participant
http://purl.obolibrary.org/obo/ODNAE_0000139,http://purl.obolibrary.org/obo/DRON_00022757,has participant
http://purl.obolibrary.org/obo/ODNAE_0000138,http://purl.obolibrary.org/obo/DRON_00022714,has participant
http://purl.obolibrary.org/obo/ODNAE_0000137,http://purl.obolibrary.org/obo/DRON_00023619,has participant
http://purl.obolibrary.org/obo/ODNAE_0000136,http://purl.obolibrary.org/obo/DRON_00020565,has participant
http://purl.obolibrary.org/obo/ODNAE_0000135,http://purl.obolibrary.org/obo/DRON_00018348,has participant
http://purl.obolibrary.org/obo/ODNAE_0000134,http://purl.obolibrary.org/obo/DRON_00018768,has participant
http://purl.obolibrary.org/obo/ODNAE_0000133,http://purl.obolibrary.org/obo/DRON_00030845,has participant
http://purl.obolibrary.org/obo/DRON_00025255,http://purl.obolibrary.org/obo/CHEBI_4356,has_proper_part
