Class ID,Parents,Preferred Label
http://purl.obolibrary.org/obo/MONDO_0019437,http://purl.obolibrary.org/obo/DOID_676,"enthesitis-related juvenile idiopathic arthritis"
http://purl.obolibrary.org/obo/OHMI_0000040,http://purl.obolibrary.org/obo/OHMI_0000029,"depletion of Veillonella in RA human gut"
http://purl.obolibrary.org/obo/OHMI_0000391,http://purl.obolibrary.org/obo/OHMI_0000394,"depletion of S. thermophilus in colorectal cancer human gut"
http://purl.obolibrary.org/obo/OHMI_0000282,http://purl.obolibrary.org/obo/OHMI_0000280,"expansion of Salmonella in reactive arthritis rat gut"
http://purl.obolibrary.org/obo/NCBITaxon_613,http://purl.obolibrary.org/obo/NCBITaxon_1903411,"Serratia"
http://purl.obolibrary.org/obo/NCBITaxon_28901,http://purl.obolibrary.org/obo/NCBITaxon_590,"Salmonella enterica"
http://purl.obolibrary.org/obo/OHMI_0000173,http://purl.obolibrary.org/obo/OHMI_0000083,"depletion of Aggregatibacter in RA human oral cavity"
http://purl.obolibrary.org/obo/OHMI_0000088,http://purl.obolibrary.org/obo/OHMI_0000083,"depletion of Kingella in RA human oral cavity"
http://purl.obolibrary.org/obo/OBI_0000880,http://purl.obolibrary.org/obo/OBI_0001010,"RNA extract"
http://purl.obolibrary.org/obo/OHMI_0000197,http://purl.obolibrary.org/obo/OHMI_0000196,"SLE mouse-gut microbiome interaction"
http://purl.obolibrary.org/obo/OHMI_0000064,http://purl.obolibrary.org/obo/OHMI_0000083,"expansion of Porphyromonas gingivalis in RA human oral cavity"
http://purl.obolibrary.org/obo/DOID_170,http://purl.obolibrary.org/obo/DOID_28|http://purl.obolibrary.org/obo/DOID_0050686,"endocrine gland cancer"
http://purl.obolibrary.org/obo/NCBITaxon_9606,http://purl.obolibrary.org/obo/NCBITaxon_314146,"Homo sapiens"
http://purl.obolibrary.org/obo/UBERON_0010000,http://purl.obolibrary.org/obo/UBERON_0000061,"multicellular anatomical structure"
http://purl.obolibrary.org/obo/UBERON_0000062,http://purl.obolibrary.org/obo/UBERON_0010000,"organ"
http://purl.obolibrary.org/obo/NCBITaxon_201174,http://purl.obolibrary.org/obo/NCBITaxon_1783272,"Actinobacteria <phylum>"
http://purl.obolibrary.org/obo/NCBITaxon_472977,http://purl.obolibrary.org/obo/NCBITaxon_186817,"Natronobacillus"
http://purl.obolibrary.org/obo/UBERON_0000945,http://purl.obolibrary.org/obo/UBERON_0004921|http://purl.obolibrary.org/obo/UBERON_0013765,"stomach"
http://purl.obolibrary.org/obo/NCBITaxon_67825,http://purl.obolibrary.org/obo/NCBITaxon_544,"Citrobacter rodentium"
http://purl.obolibrary.org/obo/OHMI_0000390,http://purl.obolibrary.org/obo/OHMI_0000393,"depletion of B. animalis in colorectal cancer human gut"
http://purl.obolibrary.org/obo/NCBITaxon_1613,http://purl.obolibrary.org/obo/NCBITaxon_1578,"Lactobacillus fermentum"
http://purl.obolibrary.org/obo/OHMI_0000172,http://purl.obolibrary.org/obo/OHMI_0000197,"depletion of Lactobacillus in SLE  mouse gut"
http://purl.obolibrary.org/obo/OHMI_0000281,http://purl.obolibrary.org/obo/OHMI_0000280,"expansion of Yersinia in reactive arthritis rat gut"
http://purl.obolibrary.org/obo/NCBITaxon_10090,http://purl.obolibrary.org/obo/NCBITaxon_39107,"Mus musculus"
http://purl.obolibrary.org/obo/OHMI_0000196,http://purl.obolibrary.org/obo/OHMI_0000195,"mouse gut microbiome interaction"
http://purl.obolibrary.org/obo/OHMI_0000087,http://purl.obolibrary.org/obo/OHMI_0000083,"depletion of Eikenella in RA human oral cavity"
http://purl.obolibrary.org/obo/OHMI_0000063,http://purl.obolibrary.org/obo/OHMI_0000178,"expansion of Prevotella intermedia in RA human oral cavity"
http://purl.obolibrary.org/obo/PCO_0000004,http://purl.obolibrary.org/obo/PATO_0002003,"quality of an ecological community"
http://purl.obolibrary.org/obo/NCBITaxon_657309,http://purl.obolibrary.org/obo/NCBITaxon_371601,"Bacteroides xylanisolvens XB1A"
http://purl.obolibrary.org/obo/NCBITaxon_543314,http://purl.obolibrary.org/obo/NCBITaxon_538999,"Clostridiales Family XIII. Incertae Sedis"
http://purl.obolibrary.org/obo/GO_0044419,http://purl.obolibrary.org/obo/GO_0051704,"interspecies interaction between organisms"
http://purl.obolibrary.org/obo/NCBITaxon_128827,http://purl.obolibrary.org/obo/NCBITaxon_1239,"Erysipelotrichaceae"
http://purl.obolibrary.org/obo/NCBITaxon_853,http://purl.obolibrary.org/obo/NCBITaxon_216851,"Faecalibacterium prausnitzii"
http://purl.obolibrary.org/obo/OHMI_0000260,http://purl.obolibrary.org/obo/OHMI_0000258,"expansion of Enterococcus in ERA human gut"
http://purl.obolibrary.org/obo/OHMI_0000393,http://purl.obolibrary.org/obo/OHMI_0000054,"depletion of Bifidobacterium in colorectal cancer human gut"
http://purl.obolibrary.org/obo/OHMI_0000151,http://purl.obolibrary.org/obo/OHMI_0000161,"depletion of Propionibacterium acnes 17B in PsA human skin"
http://purl.obolibrary.org/obo/OHMI_0000066,http://purl.obolibrary.org/obo/OHMI_0000085,"expansion of Collinsella aerofaciens in RA human gut"
http://purl.obolibrary.org/obo/OGG_0000000002,http://purl.obolibrary.org/obo/BFO_0000040,"gene"
http://purl.obolibrary.org/obo/OHMI_0000175,http://purl.obolibrary.org/obo/OHMI_0000110,"expansion of Paraprevotella in AS  rat gut"
http://purl.obolibrary.org/obo/OHMI_0000042,http://purl.obolibrary.org/obo/OHMI_0000029,"depletion of Megamonas hypermegale in RA human gut"
http://purl.obolibrary.org/obo/OHMI_0000199,http://purl.obolibrary.org/obo/OHMI_0000200,"expansion of Ruminococcaceae in SLE  mouse gut"
http://purl.obolibrary.org/obo/NCBITaxon_1872650,http://purl.obolibrary.org/obo/NCBITaxon_1380,"Atopobium sp."
http://purl.obolibrary.org/obo/OBI_0000441,http://purl.obolibrary.org/obo/IAO_0000005,"assay objective"
http://purl.obolibrary.org/obo/DOID_3118,http://purl.obolibrary.org/obo/DOID_77,"hepatobiliary disease"
http://purl.obolibrary.org/obo/NCBITaxon_35833,http://purl.obolibrary.org/obo/NCBITaxon_35832,"Bilophila wadsworthia"
http://purl.obolibrary.org/obo/UBERON_0001088,http://purl.obolibrary.org/obo/UBERON_0000174,"urine"
http://purl.obolibrary.org/obo/NCBITaxon_1502,http://purl.obolibrary.org/obo/NCBITaxon_1485,"Clostridium perfringens"
http://purl.obolibrary.org/obo/OHMI_0000150,http://purl.obolibrary.org/obo/OHMI_0000114,"depletion of Alistipes in gout human gut"
http://purl.obolibrary.org/obo/OHMI_0000392,http://purl.obolibrary.org/obo/OHMI_0000378,"depletion of Ruminococcus in colorectal cancer human gut"
http://purl.obolibrary.org/obo/OHMI_0000174,http://purl.obolibrary.org/obo/OHMI_0000083,"depletion of Neisseria sp. in RA human oral cavity"
http://purl.obolibrary.org/obo/OHMI_0000065,http://purl.obolibrary.org/obo/OHMI_0000029,"expansion of Proteus mirabilis in RA human gut"
http://purl.obolibrary.org/obo/OHMI_0000283,http://purl.obolibrary.org/obo/OHMI_0000295,"expansion of S. moorei in colorectal cancer human gut"
http://purl.obolibrary.org/obo/OHMI_0000041,http://purl.obolibrary.org/obo/OHMI_0000029,"depletion of Sutterella wadsworthensis in RA human gut"
http://purl.obolibrary.org/obo/OHMI_0000198,http://purl.obolibrary.org/obo/OHMI_0000200,"expansion of Lachnospiraceae in SLE  mouse gut"
http://purl.obolibrary.org/obo/OGG_0000000001,http://purl.obolibrary.org/obo/BFO_0000040,"genome"
http://purl.obolibrary.org/obo/OHMI_0000089,http://purl.obolibrary.org/obo/OHMI_0000083,"depletion of Rothia aeria in RA human oral cavity"
http://purl.obolibrary.org/obo/NCBITaxon_40674,http://purl.obolibrary.org/obo/NCBITaxon_32524,"Mammalia"
http://purl.obolibrary.org/obo/CHEBI_16991,http://purl.obolibrary.org/obo/CHEBI_33696,"deoxyribonucleic acid"
http://purl.obolibrary.org/obo/GO_0010467,http://purl.obolibrary.org/obo/GO_0008150,"gene expression"
http://purl.obolibrary.org/obo/UBERON_0000061,http://purl.obolibrary.org/obo/UBERON_0000465,"anatomical structure"
http://purl.obolibrary.org/obo/NCBITaxon_651822,http://purl.obolibrary.org/obo/NCBITaxon_1434006,"Fretibacterium fastidiosum"
http://purl.obolibrary.org/obo/NCBITaxon_1308,http://purl.obolibrary.org/obo/NCBITaxon_1301,"Streptococcus thermophilus"
http://purl.obolibrary.org/obo/NCBITaxon_35832,http://purl.obolibrary.org/obo/NCBITaxon_194924,"Bilophila"
http://purl.obolibrary.org/obo/NCBITaxon_1743,http://purl.obolibrary.org/obo/NCBITaxon_31957,"Propionibacterium"
http://purl.obolibrary.org/obo/OHMI_0000084,http://purl.obolibrary.org/obo/OHMI_0000083,"depletion of Haemophilus in RA human oral cavity"
http://purl.obolibrary.org/obo/NCBITaxon_9031,http://purl.obolibrary.org/obo/NCBITaxon_32524,"Gallus gallus"
http://purl.obolibrary.org/obo/OHMI_0000193,http://purl.obolibrary.org/obo/OHMI_0000183,"Lachnospiraceae depletion in arthritis rat gut"
http://purl.obolibrary.org/obo/NCBITaxon_6668,http://purl.obolibrary.org/obo/NCBITaxon_197562,"Daphnia"
http://purl.obolibrary.org/obo/NCBITaxon_5204,http://purl.obolibrary.org/obo/NCBITaxon_451864,"Basidiomycota"
http://purl.obolibrary.org/obo/OBI_0000112,http://purl.obolibrary.org/obo/BFO_0000023,"specimen role"
http://purl.obolibrary.org/obo/NCBITaxon_192066,http://purl.obolibrary.org/obo/NCBITaxon_481,"Neisseria sp."
http://purl.obolibrary.org/obo/NCBITaxon_80840,http://purl.obolibrary.org/obo/NCBITaxon_28216,"Burkholderiales"
http://purl.obolibrary.org/obo/NCBITaxon_10407,http://purl.obolibrary.org/obo/NCBITaxon_10239,"Hepatitis B virus"
http://purl.obolibrary.org/obo/NCBITaxon_363265,http://purl.obolibrary.org/obo/NCBITaxon_838,"Prevotella stercorea"
