Class ID,Parents,Preferred Label
http://purl.obolibrary.org/obo/IAO_0000144,http://purl.obolibrary.org/obo/OBI_0001909|http://purl.obolibrary.org/obo/IAO_0000300,"conclusion textual entity"
http://purl.obolibrary.org/obo/STATO_0000348,http://purl.obolibrary.org/obo/STATO_0000346,"rational quadratic anisotropic covariance structure"
http://purl.obolibrary.org/obo/STATO_0000239,http://purl.obolibrary.org/obo/OBI_0000066,"high throughput screening"
http://purl.obolibrary.org/obo/STATO_0000106,http://purl.obolibrary.org/obo/OBI_0200102,"probit regression for analysis of polychotomous dependent variable"
http://purl.obolibrary.org/obo/OBI_0400153,http://purl.obolibrary.org/obo/OBI_0000932,"droplet sorter"
http://purl.obolibrary.org/obo/OBI_0000686,http://purl.obolibrary.org/obo/OBI_0000456,"material combination objective"
http://purl.obolibrary.org/obo/OBI_0000662,http://purl.obolibrary.org/obo/IAO_0000100,"error corrected data set"
http://purl.obolibrary.org/obo/NCBITaxon_9606,http://purl.obolibrary.org/obo/NCBITaxon_314146,"Homo sapiens"
http://purl.obolibrary.org/obo/OBI_0000443,http://purl.obolibrary.org/obo/OBI_0000070,"analyte assay"
http://purl.obolibrary.org/obo/OBI_0400044,http://purl.obolibrary.org/obo/OBI_0400137,"flow cytometer"
http://purl.obolibrary.org/obo/STATO_0000541,http://purl.obolibrary.org/obo/STATO_0000107,"state space model"
http://purl.obolibrary.org/obo/STATO_0000565,http://purl.obolibrary.org/obo/IAO_0000027,"regression coefficient"
http://purl.obolibrary.org/obo/STATO_0000456,http://purl.obolibrary.org/obo/STATO_0000455,"95% credible interval"
http://purl.obolibrary.org/obo/STATO_0000105,http://purl.obolibrary.org/obo/IAO_0000109,"log signal intensity ratio"
http://purl.obolibrary.org/obo/STATO_0000214,http://purl.obolibrary.org/obo/STATO_0000196,"50% confidence interval"
http://purl.obolibrary.org/obo/STATO_0000347,http://purl.obolibrary.org/obo/STATO_0000346,"Matern function anisotropic covariance structure"
http://purl.obolibrary.org/obo/STATO_0000432,http://purl.obolibrary.org/obo/STATO_0000155,"meta analysis by Hunter-Schmidt method"
http://purl.obolibrary.org/obo/STATO_0000323,http://purl.obolibrary.org/obo/IAO_0000030,"contrast weight matrix"
http://purl.obolibrary.org/obo/STATO_0000458,http://purl.obolibrary.org/obo/STATO_0000455,"99% credible interval"
http://purl.obolibrary.org/obo/STATO_0000107,http://purl.obolibrary.org/obo/IAO_0000027,"statistical model"
http://purl.obolibrary.org/obo/STATO_0000349,http://purl.obolibrary.org/obo/STATO_0000346,"spatial linear geometric anisotropic covariance structure"
http://purl.obolibrary.org/obo/STATO_0000216,http://purl.obolibrary.org/obo/OBI_0000047|http://purl.obolibrary.org/obo/OBI_0000181,"stratum population"
http://purl.obolibrary.org/obo/OBI_0000115,http://purl.obolibrary.org/obo/OBI_0500000,"intervention design"
http://purl.obolibrary.org/obo/STATO_0000324,http://purl.obolibrary.org/obo/STATO_0000144,"contrast weight estimate"
http://purl.obolibrary.org/obo/STATO_0000215,http://purl.obolibrary.org/obo/OBI_0200102,"ordered probit regression for analysis of ordinal dependent variable"
http://purl.obolibrary.org/obo/STATO_0000542,http://purl.obolibrary.org/obo/STATO_0000485,"genomic estimated breeding value"
http://purl.obolibrary.org/obo/STATO_0000457,http://purl.obolibrary.org/obo/IAO_0000109,"mean difference"
http://purl.obolibrary.org/obo/STATO_0000300,http://purl.obolibrary.org/obo/STATO_0000184,"dimensionless ratio"
http://purl.obolibrary.org/obo/STATO_0000566,http://purl.obolibrary.org/obo/OBI_0000648,"eigenvalue"
http://purl.obolibrary.org/obo/STATO_0000433,http://purl.obolibrary.org/obo/OBI_0200000|http://purl.obolibrary.org/obo/IAO_0000030,"McNemar test"
http://purl.obolibrary.org/obo/IAO_0000037,http://purl.obolibrary.org/obo/IAO_0000038,"dot plot"
http://purl.obolibrary.org/obo/STATO_0000568,http://purl.obolibrary.org/obo/OBI_0000648,"loadings"
http://purl.obolibrary.org/obo/STATO_0000108,http://purl.obolibrary.org/obo/OBI_0200102,"linear regression for analysis of continuous dependent variable"
http://purl.obolibrary.org/obo/IAO_0000582,http://purl.obolibrary.org/obo/IAO_0000109,"time stamped measurement datum"
http://purl.obolibrary.org/obo/STATO_0000326,http://purl.obolibrary.org/obo/STATO_0000325,"corrected Akaike information criterion"
http://purl.obolibrary.org/obo/STATO_0000217,http://purl.obolibrary.org/obo/STATO_0000065,"sphericity hypothesis"
