source,target,relation
http://purl.obolibrary.org/obo/STATO_0000218,http://purl.obolibrary.org/obo/IAO_0000100,has_specified_input
http://purl.obolibrary.org/obo/IAO_0000144,http://purl.obolibrary.org/obo/OBI_0000338,is_specified_output_of
http://purl.obolibrary.org/obo/STATO_0000436,http://purl.obolibrary.org/obo/STATO_0000225,denotes
http://purl.obolibrary.org/obo/OBI_0600038,http://purl.obolibrary.org/obo/OBI_1110109,has_specified_input
http://purl.obolibrary.org/obo/STATO_0000471,http://purl.obolibrary.org/obo/STATO_0000039,estimate of
http://purl.obolibrary.org/obo/STATO_0000034,http://purl.obolibrary.org/obo/STATO_0000265,achieves
http://purl.obolibrary.org/obo/STATO_0000186,http://purl.obolibrary.org/obo/OBI_0200111,is_specified_output_of
http://purl.obolibrary.org/obo/STATO_0000157,http://purl.obolibrary.org/obo/OBI_0000175,has_specified_output
http://purl.obolibrary.org/obo/STATO_0000490,http://purl.obolibrary.org/obo/OBI_0000175,has_specified_output
http://purl.obolibrary.org/obo/STATO_0000177,http://purl.obolibrary.org/obo/STATO_0000436,is denoted by
http://purl.obolibrary.org/obo/STATO_0000508,http://purl.obolibrary.org/obo/STATO_0000096,preceded by
http://purl.obolibrary.org/obo/OBI_0200163,http://purl.obolibrary.org/obo/OBI_0000175,has_specified_input
http://purl.obolibrary.org/obo/STATO_0000245,http://purl.obolibrary.org/obo/STATO_0000175,is_specified_input_of
http://purl.obolibrary.org/obo/STATO_0000496,http://purl.obolibrary.org/obo/STATO_0000494,computed from
http://purl.obolibrary.org/obo/STATO_0000091,http://purl.obolibrary.org/obo/OBI_0001444,executes
http://purl.obolibrary.org/obo/STATO_0000225,http://purl.obolibrary.org/obo/STATO_0000237,is denoted by
http://purl.obolibrary.org/obo/OBI_0200049,http://purl.obolibrary.org/obo/OBI_0001442,has_specified_output
http://purl.obolibrary.org/obo/OBI_0500003,http://purl.obolibrary.org/obo/OBI_0000750,achieves
http://purl.obolibrary.org/obo/OBI_0001265,http://purl.obolibrary.org/obo/OBI_0200066,is_specified_output_of
http://purl.obolibrary.org/obo/STATO_0000228,http://purl.obolibrary.org/obo/STATO_0000118,is_specified_output_of
http://purl.obolibrary.org/obo/STATO_0000076,http://purl.obolibrary.org/obo/STATO_0000225,is denoted by
http://purl.obolibrary.org/obo/STATO_0000546,http://purl.obolibrary.org/obo/OBI_0000175,has_specified_output
http://purl.obolibrary.org/obo/OBI_0000424,http://purl.obolibrary.org/obo/OBI_0000275,role of
http://purl.obolibrary.org/obo/STATO_0000483,http://purl.obolibrary.org/obo/STATO_0000529,has_specified_input
http://purl.obolibrary.org/obo/STATO_0000086,http://purl.obolibrary.org/obo/STATO_0000204,has_specified_input
http://purl.obolibrary.org/obo/STATO_0000092,http://purl.obolibrary.org/obo/OBI_0000750,has_specified_input
http://purl.obolibrary.org/obo/STATO_0000559,http://purl.obolibrary.org/obo/STATO_0000525,has_specified_input
http://purl.obolibrary.org/obo/STATO_0000368,http://purl.obolibrary.org/obo/STATO_0000107,achieves
http://purl.obolibrary.org/obo/OBI_0200117,http://purl.obolibrary.org/obo/OBI_0200177,achieves_planned_objective
http://purl.obolibrary.org/obo/STATO_0000081,http://purl.obolibrary.org/obo/STATO_0000053,has_specified_input
http://purl.obolibrary.org/obo/OBI_0500011,http://purl.obolibrary.org/obo/OBI_0000750,declares
http://purl.obolibrary.org/obo/STATO_0000048,http://purl.obolibrary.org/obo/STATO_0000196,has_specified_output
http://purl.obolibrary.org/obo/STATO_0000263,http://purl.obolibrary.org/obo/OBI_0200111,preceded by
http://purl.obolibrary.org/obo/STATO_0000179,http://purl.obolibrary.org/obo/OBI_0000750,has_specified_input
http://purl.obolibrary.org/obo/OBI_0001271,http://purl.obolibrary.org/obo/CHEBI_33697,has part
http://purl.obolibrary.org/obo/STATO_0000246,http://purl.obolibrary.org/obo/OBI_0000175,has_specified_output
http://purl.obolibrary.org/obo/STATO_0000337,http://purl.obolibrary.org/obo/STATO_0000485,has_specified_output
http://purl.obolibrary.org/obo/STATO_0000280,http://purl.obolibrary.org/obo/STATO_0000085,achieves
http://purl.obolibrary.org/obo/STATO_0000044,http://purl.obolibrary.org/obo/STATO_0000196,has_specified_output
http://purl.obolibrary.org/obo/OBI_0001305,http://purl.obolibrary.org/obo/OBI_0001364,has part
http://purl.obolibrary.org/obo/IAO_0000572,http://purl.obolibrary.org/obo/IAO_0000030,has_specified_input
http://purl.obolibrary.org/obo/OBI_0001305,http://purl.obolibrary.org/obo/OBI_0001225,has part
http://purl.obolibrary.org/obo/STATO_0000491,http://purl.obolibrary.org/obo/STATO_0000094,preceded by
http://purl.obolibrary.org/obo/IAO_0000572,http://purl.obolibrary.org/obo/IAO_0000310,has_specified_output
http://purl.obolibrary.org/obo/STATO_0000274,http://purl.obolibrary.org/obo/STATO_0000134,denotes
http://purl.obolibrary.org/obo/IAO_0000582,http://purl.obolibrary.org/obo/IAO_0000416,has time stamp
http://purl.obolibrary.org/obo/STATO_0000261,http://purl.obolibrary.org/obo/OBI_0000175,has_specified_output
http://purl.obolibrary.org/obo/STATO_0000135,http://purl.obolibrary.org/obo/STATO_0000085,achieves
http://purl.obolibrary.org/obo/STATO_0000295,http://purl.obolibrary.org/obo/STATO_0000255,part of
http://purl.obolibrary.org/obo/STATO_0000036,http://purl.obolibrary.org/obo/IAO_0000100,achieves
http://purl.obolibrary.org/obo/STATO_0000461,http://purl.obolibrary.org/obo/OBI_0000175,has_specified_output
http://purl.obolibrary.org/obo/OBI_0000931,http://purl.obolibrary.org/obo/OBI_0100051,has_specified_input
http://purl.obolibrary.org/obo/STATO_0000081,http://purl.obolibrary.org/obo/STATO_0000140,has_specified_input
http://purl.obolibrary.org/obo/STATO_0000422,http://purl.obolibrary.org/obo/STATO_0000423,denotes
http://purl.obolibrary.org/obo/STATO_0000207,http://purl.obolibrary.org/obo/STATO_0000208,has_specified_output
