Class ID,Parents,Preferred Label
http://purl.obolibrary.org/obo/VO_0004461,http://purl.obolibrary.org/obo/VO_0003046,"S. mansoni DNA vaccine Sm23-pcDNA encoding Sm23"
http://purl.obolibrary.org/obo/PRO_000015399,http://purl.obolibrary.org/obo/PRO_000000001,"superoxide dismutase [Cu-Zn]"
http://purl.obolibrary.org/obo/VO_0003084,http://purl.obolibrary.org/obo/VO_0000578,"Influenza A (H1N1) 2009 Monovalent Vaccine (GlaxoSmithKline)"
http://purl.obolibrary.org/obo/VO_0002013,http://purl.obolibrary.org/obo/VO_0002373,"Bovine Rhinotracheitis-Virus Diarrhea-Respiratory Syncytial Virus Modified Live Virus Vaccine-Leptospira Pomona Bacterin (USDA: 4367.20)"
http://purl.obolibrary.org/obo/VO_0000601,http://purl.obolibrary.org/obo/VO_0000165,"Yersinia vaccine"
http://purl.obolibrary.org/obo/VO_0000267,http://purl.obolibrary.org/obo/VO_0000001,"fungal vaccine"
http://purl.obolibrary.org/obo/VO_0001096,http://purl.obolibrary.org/obo/VO_0000372,"Ovastim"
http://purl.obolibrary.org/obo/VO_0002789,http://purl.obolibrary.org/obo/VO_0000735,"Corynebacterium pseudotuberculosis vaccine"
http://purl.obolibrary.org/obo/VO_0000468,http://purl.obolibrary.org/obo/VO_0000949,"Mycoplasma gallisepticum bacterin vaccine"
http://purl.obolibrary.org/obo/VO_0000315,http://purl.obolibrary.org/obo/VO_0000001,"inactivated vaccine"
http://purl.obolibrary.org/obo/OGG_2060224914,http://purl.obolibrary.org/obo/OGG_2000224914,"protein-coding gene of Brucella melitensis bv. 1 str. 16M"
http://purl.obolibrary.org/obo/VO_0002233,http://purl.obolibrary.org/obo/VO_0002487,"Canine Distemper-Adenovirus Type 2-Coronavirus-Parainfluenza-Parvovirus Modified Live & Killed Virus Vaccine-Leptospira Canicola-Icterohaemorrhagiae Bacterial Extract (USDA: 46J9.27)"
