source,target,relation
http://purl.obolibrary.org/obo/VO_0000446,http://purl.obolibrary.org/obo/NCBITaxon_9031,vaccine immunization for host
http://purl.obolibrary.org/obo/VO_0002261,http://purl.obolibrary.org/obo/VO_0000812,has role
http://purl.obolibrary.org/obo/VO_0002750,http://purl.obolibrary.org/obo/VO_0001361,has role
http://purl.obolibrary.org/obo/VO_0002074,http://purl.obolibrary.org/obo/VO_0000211,has quality
http://purl.obolibrary.org/obo/VO_0002044,http://purl.obolibrary.org/obo/VO_0000812,has role
http://purl.obolibrary.org/obo/VO_0002523,http://purl.obolibrary.org/obo/VO_0001361,has role
http://purl.obolibrary.org/obo/VO_0001824,http://purl.obolibrary.org/obo/NCBITaxon_9103,vaccine immunization for host
http://purl.obolibrary.org/obo/VO_0001428,http://purl.obolibrary.org/obo/NCBITaxon_29486,part of
http://purl.obolibrary.org/obo/VO_0004360,http://purl.obolibrary.org/obo/NCBITaxon_10407,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0001789,http://purl.obolibrary.org/obo/VO_0000173,has quality
http://purl.obolibrary.org/obo/VO_0001999,http://purl.obolibrary.org/obo/VO_0000812,has role
http://purl.obolibrary.org/obo/VO_0001953,http://purl.obolibrary.org/obo/VO_0000812,has role
http://purl.obolibrary.org/obo/VO_0001978,http://purl.obolibrary.org/obo/VO_0000173,has quality
http://purl.obolibrary.org/obo/VO_0001677,http://purl.obolibrary.org/obo/VO_0000812,has role
http://purl.obolibrary.org/obo/VO_0011387,http://purl.obolibrary.org/obo/VO_0010859,expresses
http://purl.obolibrary.org/obo/VO_0010743,http://purl.obolibrary.org/obo/VO_0000940,has part
http://purl.obolibrary.org/obo/VO_0010711,http://purl.obolibrary.org/obo/VO_0000812,has role
http://purl.obolibrary.org/obo/VO_0001608,http://purl.obolibrary.org/obo/NCBITaxon_38170,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0000006,http://purl.obolibrary.org/obo/NCBITaxon_197911,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0004058,http://purl.obolibrary.org/obo/VO_0012369,has part
http://purl.obolibrary.org/obo/VO_0004123,http://purl.obolibrary.org/obo/NCBITaxon_1773,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0011078,http://purl.obolibrary.org/obo/VO_0000457,has role
http://purl.obolibrary.org/obo/VO_0001755,http://purl.obolibrary.org/obo/VO_0000812,has role
http://purl.obolibrary.org/obo/VO_0001393,http://purl.obolibrary.org/obo/VO_0011293,has subunit vaccine protective antigen
http://purl.obolibrary.org/obo/VO_0001186,http://purl.obolibrary.org/obo/VO_0001205,has part
http://purl.obolibrary.org/obo/VO_0002191,http://purl.obolibrary.org/obo/VO_0000211,has quality
http://purl.obolibrary.org/obo/VO_0002160,http://purl.obolibrary.org/obo/VO_0000173,has quality
http://purl.obolibrary.org/obo/VO_0001618,http://purl.obolibrary.org/obo/VO_0000812,has role
http://purl.obolibrary.org/obo/VO_0000389,http://purl.obolibrary.org/obo/NCBITaxon_9685,vaccine immunization for host
http://purl.obolibrary.org/obo/VO_0004416,http://purl.obolibrary.org/obo/NCBITaxon_1392,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0001274,http://purl.obolibrary.org/obo/OBI_0100026,inheres in
http://purl.obolibrary.org/obo/VO_0002185,http://purl.obolibrary.org/obo/VO_0000173,has quality
http://purl.obolibrary.org/obo/VO_0001614,http://purl.obolibrary.org/obo/VO_0000812,has role
http://purl.obolibrary.org/obo/VO_0011434,http://purl.obolibrary.org/obo/VO_0010895,expresses
http://purl.obolibrary.org/obo/VO_0011283,http://purl.obolibrary.org/obo/VO_0000457,has role
http://purl.obolibrary.org/obo/VO_0002166,http://purl.obolibrary.org/obo/VO_0000812,has role
http://purl.obolibrary.org/obo/VO_0002204,http://purl.obolibrary.org/obo/VO_0000812,has role
http://purl.obolibrary.org/obo/VO_0010959,http://purl.obolibrary.org/obo/VO_0000457,has role
http://purl.obolibrary.org/obo/VO_0001991,http://purl.obolibrary.org/obo/VO_0000812,has role
http://purl.obolibrary.org/obo/VO_0004573,http://purl.obolibrary.org/obo/NCBITaxon_632,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0010996,http://purl.obolibrary.org/obo/VO_0000457,has role
http://purl.obolibrary.org/obo/VO_0001932,http://purl.obolibrary.org/obo/VO_0000812,has role
http://purl.obolibrary.org/obo/VO_0000063,http://purl.obolibrary.org/obo/VO_0000211,has quality
http://purl.obolibrary.org/obo/VO_0002609,http://purl.obolibrary.org/obo/VO_0001361,has role
http://purl.obolibrary.org/obo/VO_0004714,http://purl.obolibrary.org/obo/NCBITaxon_121791,vaccine immunization against microbe
