source,target,relation
http://www.co-ode.org/ontologies/pizza/pizza.owl#American,http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,http://www.co-ode.org/ontologies/pizza/pizza.owl#hasTopping
http://www.co-ode.org/ontologies/pizza/pizza.owl#CajunSpiceTopping,http://www.co-ode.org/ontologies/pizza/pizza.owl#Hot,http://www.co-ode.org/ontologies/pizza/pizza.owl#hasSpiciness
http://www.co-ode.org/ontologies/pizza/pizza.owl#PrinceCarlo,http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,http://www.co-ode.org/ontologies/pizza/pizza.owl#hasTopping
http://www.co-ode.org/ontologies/pizza/pizza.owl#SloppyGiuseppe,http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,http://www.co-ode.org/ontologies/pizza/pizza.owl#hasTopping
http://www.co-ode.org/ontologies/pizza/pizza.owl#LaReine,http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,http://www.co-ode.org/ontologies/pizza/pizza.owl#hasTopping
http://www.co-ode.org/ontologies/pizza/pizza.owl#Caprina,http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,http://www.co-ode.org/ontologies/pizza/pizza.owl#hasTopping
http://www.co-ode.org/ontologies/pizza/pizza.owl#Capricciosa,http://www.co-ode.org/ontologies/pizza/pizza.owl#MozzarellaTopping,http://www.co-ode.org/ontologies/pizza/pizza.owl#hasTopping
http://www.co-ode.org/ontologies/pizza/pizza.owl#LaReine,http://www.co-ode.org/ontologies/pizza/pizza.owl#HamTopping,http://www.co-ode.org/ontologies/pizza/pizza.owl#hasTopping
http://www.co-ode.org/ontologies/pizza/pizza.owl#Napoletana,http://www.co-ode.org/ontologies/pizza/pizza.owl#MozzarellaTopping,http://www.co-ode.org/ontologies/pizza/pizza.owl#hasTopping
http://www.co-ode.org/ontologies/pizza/pizza.owl#Parmense,http://www.co-ode.org/ontologies/pizza/pizza.owl#ParmesanTopping,http://www.co-ode.org/ontologies/pizza/pizza.owl#hasTopping
http://www.co-ode.org/ontologies/pizza/pizza.owl#Fiorentina,http://www.co-ode.org/ontologies/pizza/pizza.owl#MozzarellaTopping,http://www.co-ode.org/ontologies/pizza/pizza.owl#hasTopping
http://www.co-ode.org/ontologies/pizza/pizza.owl#Siciliana,http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,http://www.co-ode.org/ontologies/pizza/pizza.owl#hasTopping
http://www.co-ode.org/ontologies/pizza/pizza.owl#SlicedTomatoTopping,http://www.co-ode.org/ontologies/pizza/pizza.owl#Mild,http://www.co-ode.org/ontologies/pizza/pizza.owl#hasSpiciness
http://www.co-ode.org/ontologies/pizza/pizza.owl#Capricciosa,http://www.co-ode.org/ontologies/pizza/pizza.owl#OliveTopping,http://www.co-ode.org/ontologies/pizza/pizza.owl#hasTopping
http://www.co-ode.org/ontologies/pizza/pizza.owl#Soho,http://www.co-ode.org/ontologies/pizza/pizza.owl#GarlicTopping,http://www.co-ode.org/ontologies/pizza/pizza.owl#hasTopping
http://www.co-ode.org/ontologies/pizza/pizza.owl#FourSeasons,http://www.co-ode.org/ontologies/pizza/pizza.owl#AnchoviesTopping,http://www.co-ode.org/ontologies/pizza/pizza.owl#hasTopping
http://www.co-ode.org/ontologies/pizza/pizza.owl#Fiorentina,http://www.co-ode.org/ontologies/pizza/pizza.owl#ParmesanTopping,http://www.co-ode.org/ontologies/pizza/pizza.owl#hasTopping
http://www.co-ode.org/ontologies/pizza/pizza.owl#FishTopping,http://www.co-ode.org/ontologies/pizza/pizza.owl#Mild,http://www.co-ode.org/ontologies/pizza/pizza.owl#hasSpiciness
http://www.co-ode.org/ontologies/pizza/pizza.owl#SweetPepperTopping,http://www.co-ode.org/ontologies/pizza/pizza.owl#Mild,http://www.co-ode.org/ontologies/pizza/pizza.owl#hasSpiciness
http://www.co-ode.org/ontologies/pizza/pizza.owl#Veneziana,http://www.co-ode.org/ontologies/pizza/pizza.owl#MozzarellaTopping,http://www.co-ode.org/ontologies/pizza/pizza.owl#hasTopping
http://www.co-ode.org/ontologies/pizza/pizza.owl#PolloAdAstra,http://www.co-ode.org/ontologies/pizza/pizza.owl#RedOnionTopping,http://www.co-ode.org/ontologies/pizza/pizza.owl#hasTopping
http://www.co-ode.org/ontologies/pizza/pizza.owl#QuattroFormaggi,http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,http://www.co-ode.org/ontologies/pizza/pizza.owl#hasTopping
http://www.co-ode.org/ontologies/pizza/pizza.owl#Napoletana,http://www.co-ode.org/ontologies/pizza/pizza.owl#CaperTopping,http://www.co-ode.org/ontologies/pizza/pizza.owl#hasTopping
http://www.co-ode.org/ontologies/pizza/pizza.owl#Giardiniera,http://www.co-ode.org/ontologies/pizza/pizza.owl#PeperonataTopping,http://www.co-ode.org/ontologies/pizza/pizza.owl#hasTopping
